"","Year","YS","YSP","Site","Point","Num_Trees","Dom_spp","Mean_DBH","Median_DBH","Max_DBH","Spp_maxDBH","Mean_decay","Num_live","Num_snags","Median_health","Num_2BI_Pl","Num_2BI_FD","Num_2BI_Sx","Perc_At","eff_HY","dist_to_cut","edge_near","cut","Spp","N_flg","NEST","type"
"8968",1999,"1999_FO","1999_FO_7712","FO","7712",6,"AT",22.43333333,22.7,27,"AT",2.166666667,5,1,"BI",0,0,0,1,1987,1747.63620359798,1747.63620359798,0,"RNSA","U","99051_1999","selected"
"8969",1999,"1999_SD","1999_SD_7677","SD","7677",19,"AT",20.66315789,19.1,37.4,"AT",3.368421053,5,14,"BI",0,0,0,1,1985,199.621253703524,5,0,"NOFL","0","99052_1999","selected"
"8970",1999,"1999_SD","1999_SD_7119","SD","7119",26,"AT",20.42307692,18.5,41.9,"AT",1.807692308,22,4,"BI",1,0,0,0.923076923,1985,458.859082789511,5,0,"EUST","U","99053_1999","selected"
"8971",1999,"1999_FO","1999_FO_7713","FO","7713",18,"PL",23.95,23.65,40.7,"PL",2,14,4,"BI",8,0,0,0.055555556,1985,458.859082789511,5,0,"EUST","U","99053_1999","selected"
"8972",1999,"1999_SD","1999_SD_7287","SD","7287",33,"AT",20.67272727,18.9,37.4,"AT",3.666666667,6,27,"BI",0,0,0,1,1985,191.595370232471,0,0,"EUST","U","99054_1999","selected"
"8973",1999,"1999_RL","1999_RL_7673","RL","7673",10,"PL",20.2,21.1,28.3,"AT",2.1,7,3,"HE",0,0,0,0.3,1987,1726.43784827514,1726.43784827514,0,"GLSA","U","99055_1999","selected"
"8974",1999,"1999_SD","1999_SD_7133","SD","7133",39,"AT",26.95641026,25.8,46.2,"AT",1.666666667,31,8,"HE",0,0,0,0.948717949,1985,191.137254603117,15,0,"RNSA","U","99056_1999","selected"
"8975",1999,"1999_SD","1999_SD_7120","SD","7120",31,"AT",20.17419355,19.5,41.9,"AT",1.838709677,26,5,"BI",1,0,0,0.935483871,1985,454.328610930552,10,0,"TRES","U","99057_1999","selected"
"8976",1999,"1999_D1/D2","1999_D1/D2_7729","D1/D2","7729",7,"AT",22.01428571,22.4,26.7,"PL",2,5,2,"HE",0,0,0,0.857142857,1988,1869.45655791146,25,0,"NOFL","U","99058_1999","selected"
"8977",1999,"1999_SC","1999_SC_7334","SC","7334",37,"AT",22.8027027,22.9,31.9,"AT",2.27027027,28,9,"BI",0,0,0,1,1988,1869.45655791146,25,0,"NOFL","U","99058_1999","selected"
